2024-04-28 21:40:50 [main] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2024-04-28 21:40:52 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:52 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:52 [main] INFO  : Completed initialization in 7 ms
2024-04-28 21:40:52 [main] WARN  : No mapping for DELETE /api/products/1
2024-04-28 21:40:52 [main] WARN  : No endpoint DELETE /api/products/1.
2024-04-28 21:40:52 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:52 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:52 [main] INFO  : Completed initialization in 1 ms
2024-04-28 21:40:53 [main] WARN  : No mapping for POST /api/products
2024-04-28 21:40:53 [main] WARN  : No endpoint POST /api/products.
2024-04-28 21:40:53 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:53 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:53 [main] INFO  : Completed initialization in 1 ms
2024-04-28 21:40:53 [main] WARN  : No mapping for PUT /api/products/1
2024-04-28 21:40:53 [main] WARN  : No endpoint PUT /api/products/1.
2024-04-28 21:40:53 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:53 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:53 [main] INFO  : Completed initialization in 0 ms
2024-04-28 21:40:53 [main] WARN  : No mapping for GET /api/products/deleted
2024-04-28 21:40:53 [main] WARN  : No endpoint GET /api/products/deleted.
2024-04-28 21:40:53 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:53 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:53 [main] INFO  : Completed initialization in 0 ms
2024-04-28 21:40:53 [main] WARN  : No mapping for GET /api/products/10
2024-04-28 21:40:53 [main] WARN  : No endpoint GET /api/products/10.
2024-04-28 21:40:53 [main] INFO  : Initializing Spring TestDispatcherServlet ''
2024-04-28 21:40:53 [main] INFO  : Initializing Servlet ''
2024-04-28 21:40:53 [main] INFO  : Completed initialization in 0 ms
2024-04-28 21:40:53 [main] WARN  : No mapping for GET /api/products
2024-04-28 21:40:53 [main] WARN  : No endpoint GET /api/products.
